config,seed,plugin_H,mm_term
conc_skew=1.0,11,4.593421,0.031128
conc_skew=1.0,12,4.499217,0.031128
conc_skew=3.0,1,3.939803,0.031128
conc_skew=3.0,2,3.840365,0.031128
conc_skew=3.0,3,3.647061,0.031128
conc_skew=3.0,4,4.018593,0.031128
conc_skew=3.0,5,3.794872,0.031128
conc_skew=3.0,6,3.736051,0.031128
conc_skew=3.0,7,3.781161,0.031128
conc_skew=3.0,8,3.692742,0.031128
conc_skew=3.0,9,3.693015,0.031128
conc_skew=3.0,10,3.837845,0.031128
conc_skew=3.0,11,3.978990,0.031128
conc_skew=3.0,12,3.829171,0.031128
pop_drift=0.0,1,4.639179,0.031128
pop_drift=0.0,2,4.559521,0.031128
pop_drift=0.0,3,4.502034,0.031128
pop_drift=0.0,4,4.713619,0.031128
pop_drift=0.0,5,4.624030,0.031128
pop_drift=0.0,6,4.560921,0.031128
pop_drift=0.0,7,4.618027,0.031128
pop_drift=0.0,8,4.504298,0.031128
pop_drift=0.0,9,4.423934,0.031128
pop_drift=0.0,10,4.634492,0.031128
pop_drift=0.0,11,4.653006,0.031128
pop_drift=0.0,12,4.564269,0.031128
pop_drift=0.5,1,4.574810,0.031128
pop_drift=0.5,2,4.496055,0.031128
pop_drift=0.5,3,4.437377,0.031128
pop_drift=0.5,4,4.649097,0.031128
pop_drift=0.5,5,4.561907,0.031128
pop_drift=0.5,6,4.497205,0.031128
pop_drift=0.5,7,4.554827,0.031128
pop_drift=0.5,8,4.440202,0.031128
pop_drift=0.5,9,4.360840,0.031128
pop_drift=0.5,10,4.570753,0.031128
pop_drift=0.5,11,4.593421,0.031128
pop_drift=0.5,12,4.499217,0.031128
pop_drift=1.0,1,4.332996,0.031128
pop_drift=1.0,2,4.256044,0.031128
pop_drift=1.0,3,4.195302,0.031128
pop_drift=1.0,4,4.407202,0.031128
pop_drift=1.0,5,4.323795,0.031128
pop_drift=1.0,6,4.256684,0.031128
pop_drift=1.0,7,4.314953,0.031128
pop_drift=1.0,8,4.199517,0.031128
pop_drift=1.0,9,4.120032,0.031128
pop_drift=1.0,10,4.329764,0.031128
pop_drift=1.0,11,4.355882,0.031128
pop_drift=1.0,12,4.255498,0.031128
