config,seed,method,k,distortion
spread=0.06,2,median_cut,64,0.000758
spread=0.06,2,kmeans,256,0.000172
spread=0.06,2,median_cut,256,0.000198
spread=0.06,3,kmeans,4,0.010772
spread=0.06,3,median_cut,4,0.011254
spread=0.06,3,kmeans,16,0.002500
spread=0.06,3,median_cut,16,0.003813
spread=0.06,3,kmeans,64,0.000706
spread=0.06,3,median_cut,64,0.000836
spread=0.06,3,kmeans,256,0.000218
spread=0.06,3,median_cut,256,0.000287
spread=0.06,4,kmeans,4,0.008883
spread=0.06,4,median_cut,4,0.011026
spread=0.06,4,kmeans,16,0.002089
spread=0.06,4,median_cut,16,0.002947
spread=0.06,4,kmeans,64,0.000658
spread=0.06,4,median_cut,64,0.000875
spread=0.06,4,kmeans,256,0.000244
spread=0.06,4,median_cut,256,0.000289
spread=0.06,5,kmeans,4,0.009467
spread=0.06,5,median_cut,4,0.011038
spread=0.06,5,kmeans,16,0.002236
spread=0.06,5,median_cut,16,0.003162
spread=0.06,5,kmeans,64,0.000673
spread=0.06,5,median_cut,64,0.000836
spread=0.06,5,kmeans,256,0.000201
spread=0.06,5,median_cut,256,0.000233
spread=0.06,6,kmeans,4,0.010752
spread=0.06,6,median_cut,4,0.010547
spread=0.06,6,kmeans,16,0.002137
spread=0.06,6,median_cut,16,0.002292
spread=0.06,6,kmeans,64,0.000703
spread=0.06,6,median_cut,64,0.000753
spread=0.06,6,kmeans,256,0.000255
spread=0.06,6,median_cut,256,0.000253
spread=0.06,7,kmeans,4,0.010932
spread=0.06,7,median_cut,4,0.012370
spread=0.06,7,kmeans,16,0.003198
spread=0.06,7,median_cut,16,0.003223
spread=0.06,7,kmeans,64,0.000829
spread=0.06,7,median_cut,64,0.001097
spread=0.06,7,kmeans,256,0.000202
spread=0.06,7,median_cut,256,0.000284
spread=0.06,8,kmeans,4,0.011113
spread=0.06,8,median_cut,4,0.012346
spread=0.06,8,kmeans,16,0.003613
spread=0.06,8,median_cut,16,0.002766
spread=0.06,8,kmeans,64,0.000843
spread=0.06,8,median_cut,64,0.000737
spread=0.06,8,kmeans,256,0.000185
spread=0.06,8,median_cut,256,0.000224
spread=0.12,1,kmeans,4,0.009822
spread=0.12,1,median_cut,4,0.012812
spread=0.12,1,kmeans,16,0.002693
spread=0.12,1,median_cut,16,0.004026
spread=0.12,1,kmeans,64,0.000943
spread=0.12,1,median_cut,64,0.001338
spread=0.12,1,kmeans,256,0.000295
spread=0.12,1,median_cut,256,0.000385
spread=0.12,2,kmeans,4,0.007880
spread=0.12,2,median_cut,4,0.008232
spread=0.12,2,kmeans,16,0.002260
spread=0.12,2,median_cut,16,0.002902
spread=0.12,2,kmeans,64,0.000716
spread=0.12,2,median_cut,64,0.001138
spread=0.12,2,kmeans,256,0.000256
spread=0.12,2,median_cut,256,0.000354
spread=0.12,3,kmeans,4,0.011729
spread=0.12,3,median_cut,4,0.012230
spread=0.12,3,kmeans,16,0.003372
spread=0.12,3,median_cut,16,0.004184
spread=0.12,3,kmeans,64,0.001075
spread=0.12,3,median_cut,64,0.001300
spread=0.12,3,kmeans,256,0.000353
spread=0.12,3,median_cut,256,0.000500
spread=0.12,4,kmeans,4,0.009084
spread=0.12,4,median_cut,4,0.011607
spread=0.12,4,kmeans,16,0.002817
spread=0.12,4,median_cut,16,0.003404
spread=0.12,4,kmeans,64,0.001030
spread=0.12,4,median_cut,64,0.001294
spread=0.12,4,kmeans,256,0.000402
spread=0.12,4,median_cut,256,0.000477
spread=0.12,5,kmeans,4,0.010114
spread=0.12,5,median_cut,4,0.011542
spread=0.12,5,kmeans,16,0.002862
spread=0.12,5,median_cut,16,0.003716
spread=0.12,5,kmeans,64,0.001058
spread=0.12,5,median_cut,64,0.001219
spread=0.12,5,kmeans,256,0.000335
spread=0.12,5,median_cut,256,0.000396
spread=0.12,6,kmeans,4,0.011748
spread=0.12,6,median_cut,4,0.011735
spread=0.12,6,kmeans,16,0.002812
spread=0.12,6,median_cut,16,0.003646
spread=0.12,6,kmeans,64,0.001063
spread=0.12,6,median_cut,64,0.001147
spread=0.12,6,kmeans,256,0.000395
spread=0.12,6,median_cut,256,0.000454
spread=0.12,7,kmeans,4,0.011506
spread=0.12,7,median_cut,4,0.012599
spread=0.12,7,kmeans,16,0.003487
spread=0.12,7,median_cut,16,0.003743
spread=0.12,7,kmeans,64,0.001329
spread=0.12,7,median_cut,64,0.001459
spread=0.12,7,kmeans,256,0.000364
spread=0.12,7,median_cut,256,0.000490
spread=0.12,8,kmeans,4,0.013642
spread=0.12,8,median_cut,4,0.012746
spread=0.12,8,kmeans,16,0.003501
spread=0.12,8,median_cut,16,0.003258
spread=0.12,8,kmeans,64,0.001377
spread=0.12,8,median_cut,64,0.001129
spread=0.12,8,kmeans,256,0.000327
spread=0.12,8,median_cut,256,0.000380
